page,chapter,section,project_name,budget_2026_text,budget_2026_man_yen,budget_2025_text,budget_2025_man_yen,budget_diff_man_yen,budget_change_rate_pct,department,account_or_code,purpose,main_actions,major_expenses_prev
5,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,山林維持管理事業,"1,418万円",1418,"1,097万円",1097.0,321.0,29.2616226071103,産業振興課,01-06-02-02-10,鳥獣等による森林被害の防止を図るとともに、森林整備の遅れている民 有林の整備を行う。,鳥獣等による森林被害の防止 / 森林整備の遅れている民有林の整備,森林整備計画調査委託料 198万円 / 有害鳥獣駆除委託料 147万円 / ライフライン等保全対策業務委託料 220万円
5,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,間伐対策事業,81万円,81,－,,,,産業振興課,01-06-02-02-12,補助金を交付することにより民有林の間伐の促進を図る。,間伐施業に対する補助金の交付,間伐対策事業補助金 81万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,信州産ペレット消費拡大事業,20万円,20,20万円,20.0,0.0,0.0,産業振興課,01-06-02-02-14,長野県の林業及び木材産業の振興並びに県産材の利用促進や健全な 森林の育成及び地球温暖化防止のための森林整備等の観点から、ペ レットストーブを設置した事業実施主体者に補助金を交付する。,ペレットストーブ設置者に対する補助金の交付,木質バイオマス循環利用普及促進事業補助金 20万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,町有林整備事業,393万円,393,443万円,443.0,-50.0,-11.286681715575622,産業振興課,01-06-02-03-10,森林の有する多面的機能を総括的、且つ高度に発揮するため、適切な森 林整備の実施により健全な森林資源としての町有林の維持造成を推進す る。,町有林の整備（下刈・間伐・枝打ち）,造林事業委託料 372万円 / 消耗品費 13万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,林道維持管理事業,839万円,839,"1,783万円",1783.0,-944.0,-52.94447560291643,産業振興課,01-06-02-04-10,森林の持つ木材の生産、治山・治水等多面的機能の維持増進のために森林整備の基盤施設である林内路 網について、路面や法面の維持管理を行う。,林道・作業道の補修・整備,林道萩倉線改良工事測量設計委託料 51万円 / 林道維持管理委託料 69万円 / 林道維持補修工事費 354万円 / 林道萩倉線改良工事費 280万円 / 補修用資材代 31万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,環境関係基礎調査事業,173万円,173,173万円,173.0,0.0,0.0,住民環境課,01-04-01-07-10,環境保全の基礎となる河川地下水の水質測定、自動車交通等に伴う騒音振動測定等を実施し、住民生活の 安心確保や良好な生活環境の保持を図る。,基礎調査の実施,水質検査委託料 102万円 / 騒音等測定解析委託料 72万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,水産業振興事業,100万円,100,100万円,100.0,0.0,0.0,産業振興課,01-06-03-01-10,水産振興のため魚類の増殖及び外来魚駆除を支援することで、ワカサギを始めとした水産資源を確保する。,実施団体に対する補助金の交付,諏訪湖漁業協同組合補助金 100万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,地球温暖化対策事業,466万円,466,521万円,521.0,-55.0,-10.556621880998081,住民環境課,01-04-01-07-16,地球温暖化対策のための施策を検討するとともに、家庭などでの町民の 取り組みの推進を図る。 施,地球温暖化対策の周知・啓発、イベント等の実,家庭用ゼロカーボン補助金 300万円 / 事業者用ゼロカーボン補助金 100万円 / 温泉熱事業技術提案報酬金 12万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,車両購入経費,179万円,179,126万円,126.0,53.0,42.06349206349206,総務課,01-02-01-05-12,車両更新計画に基づき、公用車両の計画的な更新を行う。 車両の更新にあたっては可能な限り低公害車を選定し、省エネルギーの推進を図る。,低公害車導入による省エネルギーの推進,測量委託料 204万円 / 消耗品費 4万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,施設管理費,372万円,372,372万円,372.0,0.0,0.0,総務課,01-02-01-04-12,町が保有する普通財産を一括管理することにより、効率的な財産管理を行う。,普通財産の一括管理 / 指定管理者制度の活用,火災保険料 110万円 / 修繕料 100万円 / 友之町駐車場管理委託料 96万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,登記事務経費,207万円,207,342万円,342.0,-135.0,-39.473684210526315,総務課,01-02-01-04-14,道水路内民地や民地内道水路の適切な登記を行うことにより、町有財産の明確化を図る。,適切な登記処理事務の実施,車両購入費 177万円 / 自動車損害保険料 2万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,町営住宅管理費,12万円,12,12万円,12.0,0.0,0.0,総務課,01-08-05-01-10,町民に低廉な価格で住宅の提供を行う。,町営住宅の維持管理,修繕料 9万円 / 補修用資材代 2万円 / 火災保険料 1万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,駐車場事業,735万円,735,695万円,695.0,40.0,5.755395683453238,総務課,駐車場事業特別会計,安心安全で暮らしやすい生活基盤の充実とまち歩き観光の拠点として、公 営駐車場の管理運営を行う。,町営四ツ角駐車場の管理運営,四ツ角駐車場管理補助委託料 346万円 / 駐車場用地借上料 270万円 / 町債償還元金 64万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般経費(都市計画総務費),"1,278万円",1278,"1,055万円",1055.0,223.0,21.137440758293838,建設水道課,01-08-04-01-05,都市計画法に基づく手続きや調査を行うことで都市の健全な発展と秩序ある整備を図るとともに、都市計画基本図や都 市計画決定情報のデジタル化及び更新を行うことで横断的な利用促進を図る。また、立地適正化計画に基づき「コンパク ト・プラス・ネットワークのまちづくり」を推進することで持続可能な都市運営を図る。 都市計画決定情報のデジタル化 組の検討,都市計画法関係手続き及び都市計画基本図や / 立地適正化計画による制度の適切な運用と取,都市計画基礎調査委託料 754万円 / 用途地域変更業務委託料 264万円 / 地域開発整備基金積立金 114万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般経費(財産管理費),"1,902万円",1902,"1,808万円",1808.0,94.0,5.199115044247788,総務課,01-02-01-04-05,財産管理等に関わる保険加入や庁舎宿直業務等の委託を行うことにより、安心安全な施設利用を図る。 土地開発公社に対する借入利子補助及び用地取得を行い、土地開発公社の将来負担軽減を図る。,保険加入・庁舎宿直業務等の委託 / 土地開発公社に対する借入利子補助 / 土地開発公社保有地の取得,宿直業務委託料 773万円 / 事務機器借上料 475万円 / 町土地開発公社借入利子補助金 189万円 / 総合賠償補償保険料 165万円 / 公共施設整備基金利子積立金 116万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,街なみ環境整備事業,352万円,352,"1,644万円",1644.0,-1292.0,-78.58880778588808,建設水道課,01-08-04-05-10,地域住民との協働により当町特有の歴史・文化を継承しつつ、歴史的な 街なみの環境を良好に維持または潤いある住環境を整備する。またそれ による波及的効果でまちの活性化を図る。 整備,歴史的景観に資する施設及び住宅等住環境の,街づくり協議会活動助成金 40万円 / 街なみ環境整備事業（修景施設整備）補助金 300万円 / 消耗品費 12万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,グランドデザイン策定事業,557万円,557,719万円,719.0,-162.0,-22.531293463143253,総合政策課,01-08-04-05-14,将来まちのあるべき姿（まちづくりの基本方針）について、住民、事業者、 学生、行政が一体となって議論・検討し、誰もが認識できるよう各地区の 将来像をデザイン化（グランドデザイン）する。 業の推進,関係者との連携によるグランドデザイン策定事,事業協力者等謝礼 22万円 / グランドデザイン策定委託料 535万円
11,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,バイパス対策事業,"1,497万円",1497,192万円,192.0,1305.0,679.6875,建設水道課,01-08-04-04-10,バイパスの整備による交通の円滑化や防災性の向上、観光産業や経済活 動の活性化など複合的な効果の発現により安全で快適な地域生活の実 現を目指す。 事業化区間の早期工事着手,国道２０号下諏訪岡谷バイパスの早期開通 / 国道２０号諏訪バイパスの早期全線事業化及び,"地籍調査業務委託料 1,315万円 / 資料作成委託料 96万円"
11,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,都市計画道路事業,"7,868万円",7868,"1億1,414万円",11414.0,-3546.0,-31.06711056597161,建設水道課,01-08-04-06-10,赤砂東山田線整備により下諏訪岡谷バイパスと中心市街地・湖岸地区を 結ぶ南北の幹線道路が完成し、交通円滑化や防災力向上に加え、観光や 地域経済の活性化など多面的な効果が期待される。,赤砂東山田線の整備促進 / 赤砂東山田線関連事業の実施,"赤砂東山田線事業関連用地購入費 265万円 / 赤砂東山田線街路事業地元負担金 7,600万円"
11,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,道路新設改良事業,"6,531万円",6531,"3,340万円",3340.0,3191.0,95.53892215568862,建設水道課,01-08-02-03-10,道路環境の整備及び道路防災の機能を高め、利便性の向上と災害に強 い道路づくりを目指す。,道路、水路及び交差点の改良工事,"測量設計委託料 1,542万円 / 工事請負費 4,989万円"
12,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,道路維持補修事業,"9,388万円",9388,"1億4,610万円",14610.0,-5222.0,-35.74264202600958,建設水道課,01-08-02-02-10,道路機能の維持を図り交通体系の円滑化を目指す。,道路維持補修工事 / 道路局所補修工事,"融雪剤購入費 279万円 / 道路維持管理委託料 448万円 / 道路維持補修工事費 8,500万円"
12,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,橋りょう維持補修事業,90万円,90,50万円,50.0,40.0,80.0,建設水道課,01-08-02-04-10,橋りょうの維持管理を図り交通体系の円滑化を目指す。,橋りょう維持補修工事,橋りょう維持補修工事費 90万円
12,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,道路メンテナンス事業,2億130万円,20130,"4億1,625万円",41625.0,-21495.0,-51.63963963963965,建設水道課,01-08-02-05-12,計画的な橋りょう等の維持管理や更新を図り、安心安全な道路ネットワー クを確保する。 検の実施,補助事業を活用した橋りょうの健全化 / 道路法に基づく５年に１回の近接目視による点 / 橋りょう長寿命化修繕計画策定,"測量設計委託料 452万円 / 橋りょう点検委託料 1,400万円 / 高木橋改良事業委託料 1億7,354万円"
13,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,用悪水路維持補修事業,90万円,90,98万円,98.0,-8.0,-8.16326530612245,建設水道課,01-08-02-06-10,用悪水路の維持管理を実施し、冠水対策を図る。,鰻沢周辺の冠水被害の軽減,鰻沢浚渫工事費 90万円
13,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,浄水施設整備事業,"7,000万円",7000,"5,710万円",5710.0,1290.0,22.59194395796848,建設水道課,水道事業会計,水道水安定供給のため老朽化による浄水施設及び関連施設等の機能を強化する。,浄水施設及び関連施設等の改修 / 導送水管の布設替え工事,"第１配水池流量計ＵＰＳ更新工事 500万円 / 東俣浄水場自家用発電機燃料タンク増設工事1,200万円"
13,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,配水施設整備事業,"1億2,330万円",12330,"9,652万円",9652.0,2678.0,27.745544964774137,建設水道課,水道事業会計,災害時等の有事に対応する配水管網の整備及び水道水安定供給のための配水施設の整備を行う。 え,配水管を耐震性能を有する水道管への布設替,"配水施設整備事業費 1億2,330万円"
14,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,流域下水道事業,"2億6,979万円",26979,"2億9,901万円",29901.0,-2922.0,-9.772248419785292,建設水道課,下水道事業会計,生活を支えるインフラとして適正かつ効率的な維持管理を推進し施設の機能維持と経営の健全化を目指す。,計画的な整備と安定した汚水処理の実施,"建設費負担金 4,729万円 / 維持管理費負担金 2億2,249万円"
14,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,維持管理事業（管渠費）,"2,388万円",2388,"3,460万円",3460.0,-1072.0,-30.982658959537574,建設水道課,下水道事業会計,生活を支えるインフラとして適正かつ効率的な維持管理を推進し施設の 機能維持と経営の健全化を目指す。,適切な維持管理の推進 / 効率的な維持管理の推進,"下水道施設管理委託料 1,383万円 / 下水道施設修繕費 116万円 / 下水道施設工事費 335万円"
14,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,公共下水道事業,"1億5,975万円",15975,2億905万円,20905.0,-4930.0,-23.582874910308536,建設水道課,下水道事業会計,生活を支えるインフラとして計画的かつ効率的な維持管理及び災害に強 い施設の構築を推進し持続可能な運営による水と資源の健全な循環を 目指す。,ストックマネジメントの推進 / 地震対策の推進 / 雨水排水対策の推進,"下水道管渠移設事業費 5,500万円 / 老朽化・地震対策事業費 7,900万円 / 官民連携等基盤強化推進事業費 2,300万円"
15,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般経費(温泉管理費),"1億7,879万円",17879,"1億8,293万円",18293.0,-414.0,-2.2631607718799542,建設水道課,温泉事業特別会計,地域資源である温泉を活用し、健康でゆとりある暮らしを支え環境負荷軽 減も図る。 推進,温泉の安定的な供給と温泉資源の有効利用の / 安定的な温泉経営の運営 / 温泉法に基づく温泉施設の成分分析実施,"温泉施設維持管理等委託料 792万円 / 温泉施設修繕料 2,400万円 / 温泉施設整備工事費 6,850万円"
15,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,砥川治水対策事業,7万円,7,3万円,3.0,4.0,133.33333333333331,建設水道課,01-08-03-01-10,県で実施する砥川流域における治水対策事業に協力するとともに「諏訪 圏域河川整備計画」に基づく広域的な治水対策を推進することにより、地 域住民の安心安全を図る。,砥川治水対策事業の推進 / 広域的な流域治水の推進,河川整備等要望活動費 5万円 / 砥川美化活動に係る消耗品費 1万円
15,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,バス運行事業,"4,353万円",4353,"4,429万円",4429.0,-76.0,-1.7159629713253557,住民環境課,01-02-01-09-10,特に遠隔地における高齢者や児童・生徒等、交通弱者の買い物、通院、通 学等身近な移動手段として、安価な運賃の交通手段を確保し、生活環境 の向上を図る。,バスの適正運行,"あざみ号運行経費 3,618万円 / キャッシュレス決済経費 72万円 / AED借上料 8万円"
16,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,狂犬病予防対策事業,33万円,33,36万円,36.0,-3.0,-8.333333333333332,住民環境課,01-04-01-07-14,狂犬病予防法に基づく犬の登録と、狂犬病予防注射の実施。,犬の登録と狂犬病予防注射の実施,犬登録管理及び狂犬病予防注射委託料 30万円 / 消耗品費 3万円
16,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,資源物等処理事業,1億817万円,10817,1億532万円,10532.0,285.0,2.7060387390808964,住民環境課,01-04-02-02-10,町内のごみ収集場所や駅東リサイクルステーション等からの資源物及び埋立ごみの円滑な収集運搬ととも に、駅東リサイクルステーションの維持管理の実施。,資源物の適正な収集運搬及び処理,"資源物収集委託料 4,079万円 / 燃やすごみ収集委託料 4,686万円 / 処理委託料 1,996万円"
16,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,生ごみリサイクル事業,"1,138万円",1138,"1,147万円",1147.0,-9.0,-0.7846556233653008,住民環境課,01-04-02-02-16,家庭及び公共施設から出る生ごみをリサイクルすることにより、環境負荷の低減及び焼却施設の負荷軽減を 図り、循環型社会の形成を推進する。,生ごみリサイクル事業の活動周知 / 生ごみ処理機器活用促進,会計年度任用職員報酬等 175万円 / 生ごみ処理委託料 809万円 / 生ごみ処理機器設置補助金 55万円
17,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,清掃センター管理費,"1,983万円",1983,"1,899万円",1899.0,84.0,4.423380726698262,住民環境課,01-04-02-02-18,民間委託による清掃センターを活用した資源物及び埋立ごみの直接持込の受付と施設の適切な維持管理を 図る。,資源物及び埋立ごみの持込 / 清掃センターの適切な維持管理,"管理運営委託料 1,584万円 / 電気料 181万円 / 施設修繕代 76万円 / 電気保安業務委託料 60万円 / 消防用設備保守委託料 26万円"
17,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,湖周ごみ処理施設整備事業,"1億5,384万円",15384,"1億3,504万円",13504.0,1880.0,13.921800947867299,住民環境課,01-04-02-02-20,湖周地区（岡谷市、諏訪市、下諏訪町）の広域ごみ処理施設の整備を行 い、循環型社会を構築する。,広域ごみ処理施設の適正な施設管理,"湖周行政事務組合負担金 1億5,384万円"
17,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,空家等対策事業,451万円,451,470万円,470.0,-19.0,-4.042553191489362,建設水道課,01-08-04-01-18,今後、更なる増加が懸念される空家の中でも倒壊等により周囲へ影響を及ぼす可能性のある老朽化した空 家の除却を促進することで安全で安心なまちづくりの推進を図る。 言、勧告、代執行等の法的措置の段階的実施,老朽危険空家の解体に要する費用への補助 / 危険性や切迫性の高い特定空家等の認定や助 / 住民への積極的な普及啓発,特定空家等事前調査委託料 48万円 / 老朽危険空家除却補助金 400万円 / 事業協力者謝礼 3万円
18,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,公園整備事業,990万円,990,－,,,,建設水道課,01-08-04-03-14,地域のコミュニティに資する公園等の整備を行うことで良好な生活環境の向上を図る。,公園等の整備,公園整備工事費 990万円
18,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般公園緑地管理費,"1,600万円",1600,"1,585万円",1585.0,15.0,0.9463722397476341,建設水道課,01-08-04-03-10,定期的な点検及びそれによる補修等により事故を予防する。また必要に 応じて公園施設を更新及び適切な維持管理を行うことで快適な公園環境 を整える。また公園以外の緑地も適切に管理し良好な環境を確保する。,一般公園等の適切な維持管理,"光熱水費 180万円 / 修繕料 124万円 / 施設管理等補助委託料 1,032万円"
18,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,いずみ湖公園管理費,512万円,512,653万円,653.0,-141.0,-21.592649310872893,建設水道課,01-08-04-03-12,いずみ湖公園の適切な運営及び維持管理を行うことを目的とする。また、 劣化が著しく、利用者が減少しているテニスコートを中心に公園全体の利 活用について検討を行い、公園サービスの向上を図る。,いずみ湖公園の適切な運営及び維持管理 / いずみ湖公園の利活用検討,いずみ湖公園マレットゴルフ場管理委託料 185万円 / いずみ湖公園管理補助委託料 131万円
20,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,一般経費(事務局費),870万円,870,"1,300万円",1300.0,-430.0,-33.07692307692307,教育こども課,01-10-01-02-05,教育委員会事務局に関わる庶務や、しもすわ未来議会等の各種事業運 営の委託などを行う。 施,しもすわ未来議会やこども研究所などの事業実,教育支援委員会委員等報酬等 648万円 / しもすわ未来議会番組制作委託料 38万円
20,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,学校体育施設開放事業,59万円,59,74万円,74.0,-15.0,-20.27027027027027,教育こども課,01-10-01-02-16,夜間校庭を社会体育活動に開放することにより、地域の生涯スポーツの振興を図るとともに、照明を整備し、 緊急時の避難所としての機能の向上を図る。,学校照明設備の計画的な更新と維持管理,施設維持管理経費 59万円
21,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,教職員住宅管理費,3万円,3,3万円,3.0,0.0,0.0,教育こども課,01-10-01-04-10,管理職用の教職員住宅を確保することで緊急時における施設対応や町との連携を図る。,教職員への教員住宅としての貸し出し,修繕料 2万円 / 火災保険料 1万円
21,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校管理運営事業,"1億1,742万円",11742,"1億1,317万円",11317.0,425.0,3.755412211716886,教育こども課,01-10-02-01-10,必要な学校管理を行うとともに、学校施設の整備を行うことで、充実した学校生活により児童の健全育成を図 るとともに、地域活動の拠点、災害時の避難所としての環境整備を図る。 施,南小、北小学校の学校運営に係る管理 / 南小、北小学校の施設や器具等の修繕等の実,"会計年度任用職員(学校事務員等)報酬等 2,013万円 / 学校業務委託料 5,192万円 / 光熱水費 2,531万円"
21,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校教材用備品購入事業,325万円,325,410万円,410.0,-85.0,-20.73170731707317,教育こども課,01-10-02-02-16,教育活動に係る備品を整備することで、効率的・効果的な授業運営を可能にする。,教材用備品の購入,教材用備品購入費 155万円 / 図書購入費 170万円
22,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校一般用備品購入事業,185万円,185,94万円,94.0,91.0,96.80851063829788,教育こども課,01-10-02-02-18,活動等に係る備品を整備し、効率的・効果的で安全な小学校運営を図る。,備品の購入,事業用備品購入費 174万円 / 保健用備品購入費 11万円
22,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校管理運営事業,"8,823万円",8823,"9,270万円",9270.0,-447.0,-4.82200647249191,教育こども課,01-10-03-01-10,必要な学校管理を行うとともに、学校施設の整備を行うことで、充実した学校生活により生徒の健全育成を図 るとともに、地域活動の拠点、災害時の避難所としての環境整備を図る。 施,下中、社中学校の学校運営に係る管理 / 下中、社中学校の施設や器具等の修繕等の実,"会計年度任用職員(学校事務員等)報酬等 2,613万円 / 学校業務委託料 3,079万円 / 光熱水費 1,468万円"
22,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校整備事業,490万円,490,526万円,526.0,-36.0,-6.844106463878327,教育こども課,01-10-03-01-12,学校施設の改修整備を行うことで、安心安全な学校づくりを目指し、利便性の向上と生徒が快適な学校生活 を送れるようにする。,必要な改修整備の実施,社中学校トイレ改修工事設計監委託料 50万円 / 社中学校トイレ改修工事費 440万円
23,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校教材用備品購入事業,280万円,280,"1,087万円",1087.0,-807.0,-74.24103035878565,教育こども課,01-10-03-02-16,教育活動に係る備品を整備することで、効率的・効果的な授業運営を可能にする。,教材用備品の購入,教材用備品購入費 160万円 / 図書購入費 120万円
23,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校一般用備品購入事業,125万円,125,142万円,142.0,-17.0,-11.971830985915492,教育こども課,01-10-03-02-18,学校運営や活動等に係る備品を整備することで、効率的・効果的で安全な学校運営を可能にする。,備品の購入,事業用備品購入費 106万円 / 施設用備品購入費 20万円
23,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,教職員用コンピュータ配備事業,"2,276万円",2276,"2,256万円",2256.0,20.0,0.8865248226950355,教育こども課,01-10-01-02-12,教職員が授業等必要な業務を行うため、また、教職員の負担軽減につながるよう、ICT機器の整備を実施す る。 機器を含めた維持管理,教職員用校務コンピュータ等の借上および周辺,"コンピューターシステム保守委託料 582万円 / ICT支援業務委託料 32万円 / 事務機器借上料 1,235万円 / コンピューターシステム使用料 238万円 / 統合型校務支援システム負担金 190万円"
24,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,一般経費(小学校管理費),"5,278万円",5278,"4,940万円",4940.0,338.0,6.842105263157896,教育こども課,01-10-02-01-05,学校運営、授業の実施、児童の健康管理等を行う。 耗品の購入の実施,南小、北小学校の学校運営に必要な委託や消 / 南小、北小学校の給食会計への補助,消耗品費 44万円 / 通信運搬費 4万円 / コンピュータシステム保守委託料 253万円
24,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校英語教科補助指導事業,"1,913万円",1913,"1,914万円",1914.0,-1.0,-0.052246603970741906,教育こども課,01-10-02-02-20,英語の各授業に外国語講師を配置し、教員をサポートする。各校に応じた 授業計画を立案し、英語教育の充実を図る。,外国語講師の配置,"消耗品費 1万円 / 英語教科補助指導業務委託料 1,912万円"
24,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校コンピュータ教育事業,705万円,705,"1,559万円",1559.0,-854.0,-54.77870429762668,教育こども課,01-10-02-02-22,情報化社会の進展の中、子どもたちのコンピュータに関する基礎能力の 習得を図るため、文部科学省の教育用コンピュータ新整備方針に基づき 情報教育の充実を図る。,１人１台端末及び電子黒板等の整備・維持管理,"学校医等報酬 376万円 / 消耗品費 524万円 / 学校給食費補助金 3,947万円 / 児童災害共済掛金 65万円"
25,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,一般経費(中学校管理費),"2,445万円",2445,"3,161万円",3161.0,-716.0,-22.651059791205313,教育こども課,01-10-03-01-05,学校運営、授業の実施、生徒の健康管理等を行う。 耗品の購入の実施,下中、社中学校の学校運営に必要な委託や消 / 下中、社中学校の給食費に対する補助,消耗品費 81万円 / 通信運搬費 4万円 / コンピュータシステム保守委託料 253万円
25,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校英語教科補助指導事業,"1,312万円",1312,"2,370万円",2370.0,-1058.0,-44.641350210970465,教育こども課,01-10-03-02-20,英語の各授業に外国語講師を配置し、教員をサポートする。各校に応じた 授業計画を立案し、英語教育の充実を図る。,外国語講師の派遣,学校医等報酬 348万円 / 消耗品費 438万円 / 学校給食費無償化補助金 952万円 / 学校給食費補助金 286万円
25,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校コンピュータ教育事業,878万円,878,"1,444万円",1444.0,-566.0,-39.19667590027701,教育こども課,01-10-03-02-24,情報化社会の進展の中、子どもたちのコンピュータに関する基礎能力の 習得を図るため、文部科学省の教育用コンピュータ新整備方針に基づき 情報教育の充実を図る。,１人１台端末及び電子黒板等の整備・維持管理,"消耗品費 1万円 / 英語教科補助指導業務委託料 1,311万円"
